Term,es,nes,pval,fdr,gene_set_size,matched_size,genes
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280",-0.7780673575093744,-1.974272693527232,0.0,0.018117128015370382,48,48,"BCAT1,OXCT1,AOX1,HMGCLL1,OXCT2,ALDH1B1,AGXT2,BCKDHA,HSD17B10,HIBADH,IL4I1,ACAT1,PCCB,ACSF3,BCAT2,MCEE,MCCC1,DBT,MCCC2,ALDH7A1,PCCA,ACAA2,ALDH9A1,DLD,AACS,HADHA,HMGCS1,ACAT2,ACAA1,ACADS,ACADM,EHHADH,HMGCS2,ALDH2,ACAD8,ALDH6A1,IVD,ALDH3A2,HADHB,ECHS1,ACADSB,BCKDHB,HIBCH,ABAT,MUT,HMGCL,AUH,HADH"
Pyruvate metabolism_Homo sapiens_hsa00620,-0.6631375454588014,-1.9478827898828628,0.0018867924528301887,0.019070661068810932,40,40,"LDHB,HAGHL,ACACB,ACSS1,GLO1,ALDH1B1,LDHAL6A,GRHPR,PKM,ME3,ACYP2,ACOT12,PDHB,HAGH,ACAT1,ME1,PDHA2,PKLR,MDH1,LDHAL6B,ACACA,ACSS2,LDHA,FH,PC,ALDH7A1,DLAT,PCK1,PCK2,ALDH9A1,ACYP1,DLD,ME2,LDHC,ACAT2,MDH2,LDHD,ALDH2,ALDH3A2,PDHA1"
Fatty acid degradation_Homo sapiens_hsa00071,-0.7379328989153583,-1.99664290506813,0.0,0.020977727175692025,44,42,"ADH1B,CPT1C,ACSL6,ACSBG1,ACADL,ADH5,ACSL4,ALDH1B1,ADH7,ADH4,ACSL1,ACADVL,ACAT1,ACSBG2,GCDH,ACSL3,CYP4A11,ALDH7A1,ACAA2,ACOX3,ADH1A,ALDH9A1,ECI2,ACSL5,ECI1,ACOX1,HADHA,ADH1C,ACAT2,ACAA1,CPT1A,ACADS,ACADM,EHHADH,ALDH2,ALDH3A2,HADHB,ECHS1,ACADSB,ADH6,CPT2,HADH"
Nitrogen metabolism_Homo sapiens_hsa00910,-0.667032382728658,-1.8995425243606598,0.0,0.031466590763538034,17,17,"CA5A,CA6,GLUL,CA3,CA8,CA14,CPS1,CA5B,GLUD2,CA1,GLUD1,CA9,CA7,CA4,CA12,CA13,CA2"
Glycerolipid metabolism_Homo sapiens_hsa00561,-0.5610022249910406,-1.8680259129150467,0.0019230769230769232,0.037378495694869424,59,59,"PPAP2B,AKR1B1,AGPAT4,LPL,DGKB,MOGAT1,DGKE,LPIN3,AGPAT1,GPAT2,ALDH1B1,DAK,DGKG,GK2,PNLIPRP3,DGKK,DGKI,AGPAT6,DGKZ,LPIN1,AGK,DGKD,LIPG,PNPLA3,PNPLA2,DGAT2,GLA,PNLIP,DGKA,DGKH,DGKQ,PPAP2A,MGLL,CEL,PNLIPRP2,LIPC,PNLIPRP1,AKR1A1,ALDH7A1,LIPF,MBOAT2,DGAT1,GPAM,MOGAT3,PPAP2C,LCLAT1,ALDH9A1,AGPAT5,AGPAT3,MOGAT2,AGPAT2,GK,MBOAT1,GLYCTK,AGPAT9,AKR1B10,ALDH2,LPIN2,ALDH3A2"
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900,-0.692235153596405,-1.773023042107063,0.01002004008016032,0.038796876111862236,22,21,"GGPS1,PMVK,ICMT,RCE1,NUS1,PCYOX1,ACAT1,FNTA,MVD,PDSS1,DHDDS,IDI2,FDPS,MVK,ZMPSTE24,IDI1,HMGCS1,ACAT2,HMGCS2,HMGCR,PDSS2"
Tyrosine metabolism_Homo sapiens_hsa00350,-0.5078190331009347,-1.781739179630214,0.007952286282306162,0.03970784072541705,35,35,"ADH1B,AOC3,TYRP1,COMT,AOX1,ADH5,MAOB,TYR,ADH7,HPD,FAH,PNMT,MIF,ALDH3B2,DCT,AOC2,ADH4,ALDH1A3,DBH,IL4I1,TPO,ALDH3B1,GOT2,TH,ALDH3A1,ADH1A,TAT,GOT1,HGD,ADH1C,FAHD1,DDC,GSTZ1,MAOA,ADH6"
Propanoate metabolism_Homo sapiens_hsa00640,-0.7302873795828158,-1.8538567323307888,0.0,0.03973054389335611,32,32,"ACSS3,LDHB,ACACB,ACSS1,LDHAL6A,BCKDHA,ACAT1,MLYCD,PCCB,LDHAL6B,ACACA,MCEE,ACSS2,DBT,LDHA,PCCA,DLD,ECHDC1,SUCLA2,HADHA,LDHC,ACAT2,ACADM,EHHADH,ALDH6A1,ECHS1,SUCLG1,BCKDHB,HIBCH,ABAT,MUT,SUCLG2"
Butanoate metabolism_Homo sapiens_hsa00650,-0.6956890052361191,-1.776117879875205,0.006097560975609756,0.040175525984961685,28,26,"OXCT1,HMGCLL1,OXCT2,ACSM5,ACSM2B,ACSM2A,GAD2,ACAT1,BDH2,ACSM1,BDH1,GAD1,ALDH5A1,L2HGDH,ACSM3,AACS,HADHA,HMGCS1,ACAT2,ACADS,EHHADH,HMGCS2,ECHS1,ABAT,HMGCL,HADH"
Selenocompound metabolism_Homo sapiens_hsa00450,-0.5767546473649088,-1.7840989601466382,0.005747126436781609,0.04166205956571003,17,17,"INMT,PAPSS1,MTR,MARS,CCBL1,SEPHS1,TXNRD3,PSTK,TXNRD2,TXNRD1,CCBL2,MARS2,SCLY,PAPSS2,SEPHS2,CTH,SEPSECS"
Starch and sucrose metabolism_Homo sapiens_hsa00500,-0.598450414279224,-1.7969528607335143,0.0038240917782026767,0.04238887846658429,56,40,"HK1,PYGM,HK3,G6PC2,KL,PYGL,UXS1,UGT1A6,GYS1,GCK,GAA,PGM2L1,G6PC3,TREH,UGT2A1,UGT2B17,PYGB,GPI,UGT2B4,GYS2,UGT2B15,AGL,GUSB,PGM2,UGP2,HK2,SI,HKDC1,MGAM,UGDH,GANC,UGT2B28,G6PC,ENPP3,PGM1,UGT2A3,GBE1,UGT1A1,ENPP1,GBA3"
