#Linkers: 
#Core	Expansion
ATM CAB39 CABLES1 CDKN2A CIITA CUL9 DDX5 ERCC6 IKBKB ING1 MDC1 MDM2 MDM4 NPM1 NRAS NUP214 PIK3CA PLCE1 PPP1R13L PTEN PTGS2 RB1CC1 RFX5 RNF20 SMYD2 STK11 STRADA TP53 TP53INP1 VRK1 WT1 WWOX XPO1 ZNF384	
CAB39L MX1	
CCNE1 DLL1 FBXW7 FOXM1 JAG1 KLF5 LFNG LPP MMS22L NOTCH1 NOTCH3 SHPRH	
NRP1 PLXNA1	
PDS5A PDS5B RAD21 SMC1A SMC3 STAG1 STAG2 WAPAL	
ARNT SIM2	
POLG POLG2	
ETF1 GSPT2	
COPA COPB2	
LRRC41 MYO9B	
ANO8 COQ9	
SELP SELPLG	
ANKRD17 ASXL1 ASXL2 BAP1 FOXK1 FOXK2 KDM1B	
ARFGEF1 ARFGEF2	
BRAF CCDC88A CNTRL MAP2K4 MAP3K1 MAP3K4 NUP98 RAE1 TPR	
PEX1 PEX6	
ASNS WDR27	
ITGA4 ITGAE ITGB7	
C3 CFB CFH CFP CR1 ITGAM ITGAX VSIG4	
ATG14 PIK3C3 PIK3R4	
CTCF ZMYM4	
PRPH2 ROM1	
SEC23A SEC24A	
DOT1L MLLT10	
CD93 F12	
CBFB ELF4 KAT6A RUNX1	
PYGB PYGL	
SMG1 SMG8	
KIAA1549 MBD5 MYO5B	
MVP PARP4	
PLEKHM2 SLC39A1	
PPARGC1B ZNF200 ZNF513	
NEO1 NTN1	
AFF1 MLL TASP1	
KDM6A MLL2	
FNBP1 SNX2	
NLRC4 NLRP1	
ACHE COLQ	
CTR9 PAF1 RTF1	
EPB41L1 ITPR1	
COG1 COG2 COG3	
HLA-A LILRB2	
IGF2R PACS1	
ARHGAP17 DNMBP	
MCL1 MLLT4 PVRL1 SORBS1 USP9X	
CBLL1 CDH1 PPFIA1 PTPRF PTPRM	
PDGFC PDGFRA	
KIF2A LARP1B	
CNTROB COASY	
POLB TPP2	
MAST2 STK36	
ARHGEF9 GPHN	
ABCA1 ARHGEF12	
NFIX ZNF614	
EME1 ERCC4 SLX4	
GBE1 PGD PHGDH	
CELSR2 GART	
RUSC2 SRPR	
ARL1 GOLGA4	
LY96 TLR4	
NUP205 NUP93	
POLRMT TFB1M	
GPSM2 NUMA1	
ARNTL2 CLOCK	
BCL9 PYGO2	
EPS15L1 STON2	
BOC CDON	
BRIP1 EXO1 PMS2	
BCAS3 C16orf70	
DAGLB DHX29 PISD	
NAV2 RBM15	
DHX37 PLXNA2	
SHCBP1 ZUFSP	
BCAM LAMA5	
CARNS1 TRIP12	
PER1 PER2	
EXOC3 EXOC4	
FBLN2 NID1	
TFE3 TFEC	
MTOR RICTOR	
G3BP1 G3BP2 USP10	
TAP2 TAPBP	
G2E3 WDR6	
MAP1A MAP1B	
SPRY4 TESK1	
HGF ST14	
MYH9 MYL9	
PLXNB1 SEMA4D	
DGCR8 DROSHA	
ARHGAP21 ZNF177	
CACHD1 ZMIZ1	
NUP107 NUP133	
C1R C1S C2 SERPING1	
COL1A1 TGFBI	
IL12RB2 STAT4	
IRF2 IRF2BP2	
EGFR ERBB2	
DDX18 INADL	
GOLGB1 SLC2A3	
TTC28 ZNF862	
CCM2 KRIT1	
KIAA1147 SETBP1	
DDX56 USP33	
ACTR1A SPTBN2	
SUCLG1 SUCLG2	
RAD51B RAD51C	
