ANKRD17	ASXL1	ASXL2	BAP1	FOXK1	FOXK2	KDM1B
CABLES1	CDKN2A	ING1	MDM4	PTEN	RB1CC1	TP53
CCNE1	FBXW7	FOXM1	KLF5	LPP	MMS22L	SHPRH
BRIP1	EXO1	PMS2
C1R	C1S	SERPING1
C3	CFB	CFH
DLL1	JAG1	NOTCH3
EME1	ERCC4	SLX4
G3BP1	G3BP2	USP10
MCL1	MLLT4	USP9X
PDS5B	SMC1A	STAG2
ACHE	COLQ
ARFGEF1	ARFGEF2
ARHGAP17	DNMBP
ARHGAP21	ZNF177
ARHGEF9	GPHN
ARNT	SIM2
ARNTL2	CLOCK
BCAS3	C16orf70
BCL9	PYGO2
CAB39L	MX1
CCM2	KRIT1
CD93	F12
CDH1	PTPRM
CELSR2	GART
COG1	COG3
COPA	COPB2
DGCR8	DROSHA
DOT1L	MLLT10
EGFR	ERBB2
EPB41L1	ITPR1
FBLN2	NID1
GPSM2	NUMA1
IGF2R	PACS1
IL12RB2	STAT4
IRF2	IRF2BP2
KDM6A	MLL2
KIAA1147	SETBP1
KIAA1549	MBD5
LRRC41	MYO9B
MTOR	RICTOR
MVP	PARP4
NRAS	PIK3CA
NUP107	NUP133
NUP205	NUP93
PYGB	PYGL
RUSC2	SRPR
SELP	SELPLG
SHCBP1	ZUFSP
SMG1	SMG8
STK11	STRADA
