E2F3	KDM6A	MLL2	MLL3	N4BP2	PROSER1
EIF2AK1	KRAS	PIK3CA	RASGRF2	RGL1	VARS2
ADAMTS13	F8	PROS1
ARID1A	ARID2	PBRM1
ATXN7L1	TTC28	ZNF862
CCND1	CDKN2A	TP53
DHX37	FNBP4	PLXNA2
KIAA1549	MBD5	MYO5B
LAMB2	LAMC1	NID2
PAX8	RSBN1	UNK
PDGFC	PDGFRA	SHF
PDS5B	STAG2	WAPAL
SMG1	SMG5	SMG7
ABP1	FGD1
AHCTF1	NUP160
ANGPT1	ANGPT2
ANKRD44	USP6
ANKRD6	AXIN2
ANO8	COQ9
AQR	USP28
BANK1	ITPR2
BBS9	TTC8
BCLAF1	CHD1
BOC	CDON
CAPN3	DYSF
CD200	CD200R1
CD86	MARCH8
CEP97	KIF24
CFB	CFP
CHD6	NFE2L2
CHID1	STAB1
CLASP1	CLIP2
COL5A1	COL5A2
CPT2	MBTPS2
DAGLA	GGCT
DFNB31	LRP4
DGKD	DGKH
DICER1	PIWIL4
DMXL2	WDR7
DNAJC2	HSPA14
DPYD	NOP14
E2F7	E2F8
EBF1	ZNF521
EGFR	ERBB2
EMILIN1	EMILIN2
ENGASE	ZP3
FOXA1	LETM1
FZD3	GIPC3
GTPBP5	KIAA1432
HECTD3	TRIOBP
HELZ	SMYD3
HERC4	HERC6
HK3	HPGDS
HPS1	HPS4
IL12RB1	IL12RB2
IL17RA	IL17RC
ITGAX	MIA3
ITPR3	TRPM2
JAG1	NOTCH3
KNTC1	ZWILCH
LPP	SHPRH
MAST3	PTEN
MAU2	NIPBL
MKS1	TMEM67
MMAA	MUT
MTM1	MTMR12
NCAPD3	NCAPH2
NEIL1	POLB
NEO1	UNC5B
NRP2	PLXNA1
ODF2L	PIPOX
PHF8	ZNF711
POLG	POLG2
PTCH1	SMO
RALGAPA2	RALGAPB
SLC4A4	SLC4A7
TFEB	TFEC
TLR7	TLR8
TRO	TROAP
ZNF202	ZNF473
