AGBL2	BRAF	CABLES1	CCAR1	CCDC88A	CCND1	CDKN2A	CHD8	CUL7	CUL9	DAB2IP	EPPK1	FBXO11	FBXO42	GNL3L	HECW2	IFI16	IWS1	KRAS	MAGI3	MMRN1	PIK3CA	PLEKHA8	PRDM2	PRKRIR	PTEN	PTPN14	PTPRB	RASGRF2	RIN2	RNF20	SETD2	SMTN	TEP1	TP53	TRIP12	TTLL5	WT1	ZMIZ1	ZNF148	ZNF420
KREMEN1	LRP5	LRP6	MESDC2	NPC1	OSBPL5
CCNE1	DCLRE1C	FBXW7	NOTCH4	SHPRH
ADNP	ARID1A	ARID2	PBRM1
ANGPT1	ANGPT2	TEK	TIE1
ARHGEF11	ARHGEF12	PLXNB2	PLXNB3
PDS5B	STAG1	STAG2	WAPAL
DMXL2	RAB3GAP1	WDR7
DTX4	NOTCH1	NOTCH3
EXOC3	EXOC4	EXOC5
F8	LMAN1	PROS1
HERC3	HERC4	HERC6
HLA-F	LILRB1	LILRB2
ITPR1	ITPR3	MRVI1
KDM6A	MLL2	MLL3
LNPEP	TNKS1BP1	TNKS2
NCAPD2	SMC2	SMC4
PPFIA1	PTPRF	TRIO
SEC23B	SEC24C	SEC24D
AASDH	AASS
ACBD3	GOLGB1
ALCAM	CD6
ALG10B	KCNH2
AMIGO1	AMIGO3
AQR	USP28
ARFGEF1	ARFGEF2
ARHGEF9	GPHN
ATG2A	ATG2B
BOC	CDON
CADM1	EPB41L3
CALCRL	CRCP
CAND2	UBE3C
CD1D	P4HTM
CD200	CD200R1
CLASP1	CLIP2
COG5	COG7
CUX1	ELAC2
DCBLD2	SEMA4B
DICER1	PIWIL4
DYNC2H1	DYNC2LI1
ECI1	ECI2
EMILIN1	EMILIN2
ERBB2	ERBB4
FAM160A2	RTN1
FPGT	FUK
FURIN	PACS1
GCA	LCP1
HECTD3	TRIOBP
HELZ	SMYD3
IGF2R	PLIN3
INADL	MPP5
ITGA1	TLN1
ITSN2	MAP4K3
KAT6A	KAT6B
KIAA0196	KIAA1033
KIF1C	PTPN21
LAMC1	NID2
LIF	LIFR
LRRK1	LYZ
MMP9	THBS2
MSMO1	NSDHL
NUP205	TPR
PAF1	TTC37
PEX1	PEX6
PHF8	ZNF711
PKD1	PKD2
PLEKHA1	PLEKHA2
RABGAP1	RABGAP1L
RBBP6	ZBTB38
SKIV2L	WDR1
SMC5	SMC6
SPINT1	ST14
SPTBN2	UNC13B
STIM1	STIM2
TRO	TROAP
