BRAF	CCDC88A	CCND1	CDKN2A	CUL7	EPPK1	KRAS	MAGI3	MMRN1	PIK3CA	PLEKHA8	PTEN	PTPRB	RASGRF2	RIN2	SMTN	TP53	TRIP12
ADNP	ARID1A	ARID2	PBRM1
ANGPT1	ANGPT2	TEK	TIE1
ARHGEF11	PLXNB2	PLXNB3
DMXL2	RAB3GAP1	WDR7
HLA-F	LILRB1	LILRB2
KDM6A	MLL2	MLL3
PPFIA1	PTPRF	TRIO
SEC23B	SEC24C	SEC24D
AASDH	AASS
ACBD3	GOLGB1
ARHGEF9	GPHN
BOC	CDON
CADM1	EPB41L3
CALCRL	CRCP
CD1D	P4HTM
CLASP1	CLIP2
COG5	COG7
CUX1	ELAC2
DICER1	PIWIL4
DYNC2H1	DYNC2LI1
EMILIN1	EMILIN2
F8	PROS1
FAM160A2	RTN1
FPGT	FUK
FURIN	PACS1
GCA	LCP1
HELZ	SMYD3
INADL	MPP5
ITGA1	TLN1
ITPR1	ITPR3
IWS1	SETD2
KAT6A	KAT6B
KIAA0196	KIAA1033
KIF1C	PTPN21
LAMC1	NID2
LRRK1	LYZ
NCAPD2	SMC4
NOTCH1	NOTCH3
PAF1	TTC37
PDS5B	STAG2
PEX1	PEX6
PHF8	ZNF711
PKD1	PKD2
PLEKHA1	PLEKHA2
RABGAP1	RABGAP1L
SKIV2L	WDR1
SMC5	SMC6
SPINT1	ST14
TRO	TROAP
